Board,Grade,Subject,Chapter,Topics,Related Topics
CBSE,7,Mathematics,Number Systems,"Whole numbers, integers, rational numbers, operations with rationals",Class 6 Maths - Arithmetic operations; Class 8 Maths - Powers and exponents
CBSE,7,Mathematics,Fractions and Decimals,"Equivalent fractions, fraction operations, decimal conversions, applications",Class 6 Maths - Basic fractions; Class 8 Maths - Algebra fundamentals
CBSE,7,Mathematics,Data Handling,"Raw data collection, tally marks, frequency tables, bar graphs, pie charts",Class 6 Maths - Basic data; Class 8 Maths - Statistical measures
CBSE,7,Mathematics,Geometry Basics,"Points, lines, rays, angles, triangles, quadrilaterals, symmetry",Class 6 Maths - Shapes introduction; Class 8 Maths - Advanced geometry
CBSE,7,Science,Plant and Animal Nutrition,"Modes of nutrition, photosynthesis, heterotrophs, food chains",Class 6 Science - Living organisms; Class 8 Science - Cell structure and function
CBSE,7,Science,Respiration and Excretion,"Cellular respiration, oxygen and carbon dioxide, excretory system",Class 6 Science - Body systems; Class 8 Science - Digestion system
CBSE,7,Science,Physical Properties and States of Matter,"States of matter, density, buoyancy, temperature, heat transfer",Class 6 Science - Matter basics; Class 8 Science - Particle theory
CBSE,7,Science,Light and Motion,"Reflection and mirrors, speed and velocity, distance-time relationships",Class 6 Science - Light basics; Class 8 Science - Forces and motion
CBSE,7,Social Science,Ancient India,"Early civilizations, Indus Valley, Vedic period, mauryan empire",Class 6 Social Science - Prehistory; Class 8 Social Science - Medieval India
CBSE,7,Social Science,India and the World,"Different cultures, trade routes, ancient connections, Asian societies",Class 6 Social Science - Geography basics; Class 8 Social Science - Modern world
CBSE,7,English,Reading and Comprehension,"Storytelling, descriptive passages, narrative texts, factual reading",Class 6 English - Reading skills; Class 8 English - Critical reading
CBSE,7,English,Writing Skills,"Paragraph writing, short stories, simple essays, journal writing",Class 6 English - Sentence formation; Class 8 English - Essay techniques
Bihar Board,7,Mathematics,?????? ?????? (Number Systems),"????? ????????, ????????, ?????? ????????, ??????????",Class 6 - ???????; Class 8 - ??????
Bihar Board,7,Science,??? ?? ???? ???? (Living Organisms and Nutrition),"???? ?? ?????, ???? ?? ?????, ?????? ????????",Class 6 - ????? ?????; Class 8 - ??????
Bihar Board,7,Social Science,??????? ???? (Ancient India),"????? ???? ??????, ????? ???, ????? ?????????",Class 6 - ???? ?????; Class 8 - ????????? ????
