Board,Grade,Subject,Chapter,Topics,Brief Description,Duration,Suggested Topics,Related Topics
CBSE,Class 7,Physics,Heat,Sources of Heat,Understanding various sources of heat energy including the sun natural phenomena and artificial sources. Students learn about how heat is produced and transferred.,1.5 hrs,"Temperature, Heat Transfer, Thermal Energy","Grade 8 Chemistry - Energy, Grade 7 Physics - Temperature"
CBSE,Class 7,Physics,Heat,"Temperature and its Measurement, Thermometer",Learning about temperature scales (Celsius Fahrenheit Kelvin) and how thermometers work. Understanding the difference between heat and temperature.,2 hrs,"Heat Energy, Measurement Scales, Laboratory Equipment","Grade 8 Physics - Thermal Expansion, Grade 7 Physics - Sources of Heat"
CBSE,Class 7,Physics,Heat,"Heat Transfer - Conduction Convection Radiation",Exploring the three modes of heat transfer with real-world examples. Understanding how heat moves through solids liquids and gases.,2.5 hrs,"Thermal Conductivity, Energy Transfer, Molecular Motion","Grade 8 Physics - States of Matter, Grade 7 Physics - Temperature"
CBSE,Class 7,Physics,Light,"Reflection of Light, Laws of Reflection",Understanding how light reflects from surfaces and the fundamental laws governing reflection. Students learn about incident rays reflected rays and normal lines.,2 hrs,"Mirrors, Angle of Incidence, Optical Phenomena","Grade 8 Physics - Refraction, Grade 7 Physics - Properties of Light"
CBSE,Class 7,Physics,Light,"Plane Mirrors and Spherical Mirrors",Studying the properties and uses of plane concave and convex mirrors. Understanding image formation ray diagrams and real-life applications.,3 hrs,"Reflection, Image Formation, Focal Length","Grade 8 Physics - Lenses, Grade 7 Physics - Reflection of Light"
CBSE,Class 7,Physics,Light,"Refraction of Light, Lenses",Learning about the bending of light as it passes through different mediums. Understanding convex and concave lenses and their applications in daily life.,2.5 hrs,"Optical Density, Refractive Index, Lens Formula","Grade 8 Physics - Optical Instruments, Grade 7 Physics - Reflection"
CBSE,Class 7,Physics,Light,"Dispersion of Light, Rainbow Formation",Exploring how white light splits into seven colors and the science behind rainbows. Understanding prisms and spectrum formation.,2 hrs,"VIBGYOR, Spectrum, Color Theory","Grade 8 Physics - Electromagnetic Spectrum, Grade 7 Physics - Refraction"
CBSE,Class 7,Physics,Motion and Time,"Types of Motion - Linear Circular Periodic",Understanding different types of motion observed in nature and everyday life. Learning to classify and describe motion patterns.,1.5 hrs,"Kinematics, Velocity, Speed","Grade 8 Physics - Force and Pressure, Grade 7 Physics - Speed and Distance"
CBSE,Class 7,Physics,Motion and Time,"Speed Distance and Time Calculations",Learning to calculate speed using distance and time. Solving problems related to uniform and non-uniform motion.,2 hrs,"Formulas, Unit Conversion, Problem Solving","Grade 8 Physics - Acceleration, Grade 7 Physics - Types of Motion"
CBSE,Class 7,Physics,Motion and Time,"Measuring Time - Clocks and Timekeeping Devices",Exploring the history and evolution of time measurement devices. Understanding pendulum clocks digital clocks and atomic clocks.,1.5 hrs,"Pendulum, Oscillation, Time Units","Grade 8 Physics - Simple Pendulum, Grade 7 Physics - Periodic Motion"
CBSE,Class 7,Physics,Electric Current and Its Effects,"Electric Circuit Components - Battery Switch Bulb",Introduction to basic electrical components and their functions. Learning to draw and interpret simple circuit diagrams.,2 hrs,"Conductors, Insulators, Circuit Symbols","Grade 8 Physics - Electric Charge, Grade 7 Physics - Current Flow"
CBSE,Class 7,Physics,Electric Current and Its Effects,"Heating Effect of Current, Fuse and Safety",Understanding how electric current produces heat and its applications. Learning about electrical safety devices like fuses and MCBs.,2 hrs,"Resistance, Joule's Heating, Electrical Safety","Grade 8 Physics - Ohm's Law, Grade 7 Physics - Electric Circuits"
CBSE,Class 7,Physics,Electric Current and Its Effects,"Magnetic Effect of Current, Electromagnets",Exploring how electric current creates magnetic fields. Understanding electromagnets and their practical applications.,2.5 hrs,"Electromagnetism, Magnetic Field, Solenoid","Grade 8 Physics - Magnetism, Grade 7 Physics - Current Effects"
CBSE,Class 7,Physics,Electric Current and Its Effects,"Electric Bell and Telegraph",Learning how electromagnetic principles are applied in devices like electric bells and telegraphs. Understanding the working mechanism.,1.5 hrs,"Electromagnetic Devices, Communication, Switches","Grade 8 Physics - Motors and Generators, Grade 7 Physics - Electromagnets"
