Board,Grade,Subject,Chapter,Topics,Brief Description,Duration,Suggested Topics,Related Topics
CBSE,Class 8,Science,CROP PRODUCTION AND MANAGEMENT,"AGRICULTURE AND SOIL, SOWING MANURE AND FERTILIZERS","Agriculture, Crops, The 'Why' of Soil Preparation, Methods of Soil Preparation, Sowing of Seeds, Manure, Let's Restore Our Soil",45 mins,"IRRIGATION, PROTECTING FROM WEEDS, HARVESTING STORAGE AND ANIMAL HUSBANDRY",
CBSE,Class 8,Science,CROP PRODUCTION AND MANAGEMENT,"IRRIGATION, PROTECTING FROM WEEDS, HARVESTING STORAGE AND ANIMAL HUSBANDRY","The why, water everywhere, the how, sources of water, importance of water, all about weed, getting rid of the unwanted, the process, storage, animal husbandry",45 mins,"AGRICULTURE AND SOIL, SOWING MANURE AND FERTILIZERS",
CBSE,Class 8,Science,CROP PRODUCTION AND MANAGEMENT,NCERT EXAMPLES AND SOLUTIONS,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,MICROORGANISMS: FRIEND AND FOE,"WELCOME TO THE MICROSCOPIC WORLD, TYPES OF MICROBES","Introduction, Burst the bubble, where did microbes come from, origin of eukaryotes, the tiny criminal, the omnipresent bacteria, diseases, quick check, fungi, creepy protozoans, virus from computers to life",45 mins,"FIGHT AGAINST MICROBES, MICROORGANISMS AS FRIEND AND FOE",
CBSE,Class 8,Science,MICROORGANISMS: FRIEND AND FOE,"FIGHT AGAINST MICROBES, MICROORGANISMS AS FRIEND AND FOE","Vaccination and immunization, antibiotics, common plant diseases, infested plants, food poisoning, pickling and fermentation, salting, nitrogen cycle, hidden helpers",45 mins,"WELCOME TO THE MICROSCOPIC WORLD, TYPES OF MICROBES",
CBSE,Class 8,Science,MICROORGANISMS: FRIEND AND FOE,NCERT EXAMPLES AND SOLUTIONS,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,CONSERVATION OF PLANTS AND ANIMALS,"EXTINCTION , CONSEQUENCES OF DEFORESTATION","Introduction , why did they disappear? , extinaction , how did they disappear? , deforestation , it is getting hot in here! , and we lost our cool , protecting grega , what did we learn ?",45 mins,"SAVE THE TREES , WILDLIFE CONSERVATION",
CBSE,Class 8,Science,CONSERVATION OF PLANTS AND ANIMALS,"SAVE THE TREES , WILDLIFE CONSERVATION","What is a species ? , conserve paper! , paper from rocks? Really? , what are sanctuaries? , national park , burst it , the majestic tiger , save then forests ! , migation , chllenge?",45 mins,"EXTINCTION , CONSEQUENCES OF DEFORESTATION",
CBSE,Class 8,Science,CONSERVATION OF PLANTS AND ANIMALS,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,CELL-STRUCTURE AND FUNCTION,"INTRODUCTION TO CELL , CLASSIFICATION OF CELLS , INSIDE A CELL","Importance of cells , beginning of life , early days of life , warp up , cross the hurdle , arrangement of nucleus , different types of cells , take a dip , organelles , nucleus , ER and golgi bodies , lysosomes , plastids , fabled cell city , who am I",45 mins,"INTRODUCTION TO CELL , CLASSIFICATION OF CELLS , INSIDE A CELL",
CBSE,Class 8,Science,CELL-STRUCTURE AND FUNCTION,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,REPRODUCTION IN ANIMALS,"INTRO , ASEXUAL REPRODUCTION , MITOSIS AND MEIOSIS","The circle of life , modes of reproduction , fission , break it down , budding , build it up , Introduction to cell divesion , mitosis , meiosis",45 mins,HUMAN REPRODUCTIVE SYSTEM,
CBSE,Class 8,Science,REPRODUCTION IN ANIMALS,HUMAN REPRODUCTIVE SYSTEM,"male reproductive system , female reproductive system , types of fertilisation , young onces to adults ,",45 mins,"INTRO , ASEXUAL REPRODUCTION , MITOSIS AND MEIOSIS",
CBSE,Class 8,Science,REPRODUCTION IN ANIMALS,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,REACHING THE AGE OF ADOLESCENCE,"ADOLESCENCE AND PUBERTY , CHANGES DURING PUBERY","Teenage-the stepping stone , puberty , reaching new heights , feel muscular enough? , all the singing and sweating , chemical tricks by brain , characteristics defining gender , tease your brain , meet the master , the sugar , salt and action of life , the bitter sweet truth ,",45 mins,"MENSTRUAL CYCLE , CRASH DIETING AND DRUGS",
CBSE,Class 8,Science,REACHING THE AGE OF ADOLESCENCE,"MENSTRUAL CYCLE , CRASH DIETING AND DRUGS","the cycle , take a sprint , take another sprint , no crash dieting , there we go , winding up ,",45 mins,"ADOLESCENCE AND PUBERTY , CHANGES DURING PUBERY",
CBSE,Class 8,Science,REACHING THE AGE OF ADOLESCENCE,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,SYNTHETIC FIBERS AND PLASTIC,"HISTORY OF FIBRES , HISTORY OF SYNTHETICS , EVOLUTION OF SYNTHETIC FIBRES","Let's us build , the story of silkworm , origin of silk , finding an alternative , battle of the fibrics , who won , shocking stockings , pushy-pull polyster , stretch yourself , polyester market , artificial wool , why acrylic? ,",45 mins,"CHARACTERISTICS OF PLASTICS , TYPES OF SYNTHETIC FIBRES",
CBSE,Class 8,Science,SYNTHETIC FIBERS AND PLASTIC,"CHARACTERISTICS OF PLASTICS , TYPES OF SYNTHETIC FIBRES","pernicious plastic , plastic build , tatal reca , challenging fibres , introduction to polymers , rayon , rayon vs nylon , polyester",45 mins,"HISTORY OF FIBRES , HISTORY OF SYNTHETICS , EVOLUTION OF SYNTHETIC FIBRES",
CBSE,Class 8,Science,SYNTHETIC FIBERS AND PLASTIC,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,MATERIALS: METALS AND NON-METALS,"INTRODUCTION TO MATERIALS , PHYSICAL PROPERTIES","Are you ready for a story , metals &non-metals , electronic configuration , ionization energy , metals vs non-metals , the rise of metals and non-metals , exceptions , match the properties ,",45 mins,CHEMICAL PROPERTIES,
CBSE,Class 8,Science,MATERIALS: METALS AND NON-METALS,CHEMICAL PROPERTIES,"reaction with oxygen , reaction with water , reaction with acids , reaction with metal salt , the causes of compos , ionic and covalent bonds , metallic bond",45 mins,"INTRODUCTION TO MATERIALS , PHYSICAL PROPERTIES",
CBSE,Class 8,Science,MATERIALS: METALS AND NON-METALS,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,COAL AND PETROLEUM,"INTRODUCTION TO COAL AND PETROLEUM , PRODUCTION OF OIL","Energy and its different forms , energy conservation , fossil fuels , enerfizer , extraction of oil , primary production of oil , secondary recovery process , crude oil , fractional distillation , sort the crude oil , refine your concepts",45 mins,"INTRODUCTION TO COAL AND PETROLEUM , PRODUCTION OF OIL",
CBSE,Class 8,Science,COAL AND PETROLEUM,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,COMBUSTION AND FLAME,"INTRODUCTION TO COMBUSTION , HISTORY AND CAUSEE OF FIRE","introduction to combustion , factors essential for fire , vulcan's temple , colours of flame , smoke and fuels , mastery of fire , pros and cons of fire , what is fire? , process of combustion ,",45 mins,"CANDLE FLAME , SMOKE AND MATCHES",
CBSE,Class 8,Science,COMBUSTION AND FLAME,"CANDLE FLAME , SMOKE AND MATCHES","how does a candle born? , zones in a candle flame , the fire triangle , candle-lit dinner , teardrop flame , smoke and its formation , do you have a match box ? , light a match ,",45 mins,"INTRODUCTION TO COMBUSTION , HISTORY AND CAUSEE OF FIRE",
CBSE,Class 8,Science,COMBUSTION AND FLAME,"EXTINGUISHING AND CALORIFFIC VALUE , POLLUTION","fire extinguisher , quench the fire , burn a few calories , unburnt carbon particles , don't be mean , keep the air clean , global warming ,",45 mins,"CANDLE FLAME , SMOKE AND MATCHES",
CBSE,Class 8,Science,COMBUSTION AND FLAME,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,POLLUTION OF AIR AND WATER,"AIR POLLUTION , EFFECTS OF AIR POLLUTION , WATER POLLUTION","how crucial is air , air pollution : definition , air pollution causes , taj mahal , green house effect , global warming not a myth , rise of the gas monster , break a leg , are you game? , introduction , not so holy ganga , potable water , conclusion",45 mins,,
CBSE,Class 8,Science,POLLUTION OF AIR AND WATER,NCERT EXAMPLE AND SOLUTION,,"Practice problems and solutions from NCERT textbook covering all topics in this chapter",60 mins,,
CBSE,Class 8,Science,FORCE AND PRESSURE,"INTRODUCTION , PLAYING WITH FORCE , WHAT CAN FORCE DO? , TYPES OF FORCES","Stepping stone , what is it? , what causes it? , not just magnitude , invisible resistance , not in same direction , our understanding , Speed of motion , direction of motion , shape of body , contact force , fundamental forces , revisiting forces ,",45 mins,"THRUST AND PRESSURE , ATMOSPHERIC PRESSURE",
CBSE,Class 8,Science,FORCE AND PRESSURE,"THRUST AND PRESSURE , ATMOSPHERIC PRESSURE","get set go , what are they? , united we stand , pressure in fluids , winding them up , gaseous pressure , why don't we feel it ? ,",45 mins,"INTRODUCTION , PLAYING WITH FORCE , WHAT CAN FORCE DO? , TYPES OF FORCES",
