Board,Grade,Subject,Chapters,Topics,Brief Description,Duration,Suggested Topics
CBSE,9,Physics,Motion,Distance & Displacement,Difference between distance and displacement with real-life examples,2 hrs,"Numerical problems, Graph-based questions"
CBSE,9,Physics,Motion,Speed & Velocity,"Concept of speed, velocity, average speed, and units",2 hrs,"Unit conversion, Real-life applications"
CBSE,9,Physics,Motion,Acceleration,Rate of change of velocity and examples,2 hrs,"Motion graphs, Conceptual questions"
CBSE,9,Physics,Motion,Equations of Motion,Mathematical equations describing uniformly accelerated motion,3 hrs,"Derivations, Numericals"
CBSE,9,Physics,Motion,Graphical Representation of Motion,Distance-time and velocity-time graphs,3 hrs,Graph interpretation
CBSE,9,Physics,Motion,Uniform Circular Motion,Motion along a circular path with constant speed,1.5 hrs,Examples from daily life
CBSE,9,Physics,Force and Laws of Motion,Force and its Effects,Meaning of force and its impact on motion,2 hrs,Conceptual reasoning
CBSE,9,Physics,Force and Laws of Motion,Newton’s First Law,Law of inertia and applications,2 hrs,Inertia-based problems
CBSE,9,Physics,Force and Laws of Motion,Newton’s Second Law,"Relation between force, mass, and acceleration",3 hrs,"Numericals, Derivations"
CBSE,9,Physics,Force and Laws of Motion,Newton’s Third Law,Action-reaction principle,1.5 hrs,Real-life examples
CBSE,9,Physics,Force and Laws of Motion,Momentum,Definition and conservation of momentum,2 hrs,Collision problems
CBSE,9,Physics,Gravitation,Universal Law of Gravitation,Gravitational force between masses,2 hrs,Numerical problems
CBSE,9,Physics,Gravitation,Free Fall,Motion under gravity,2 hrs,Equations of motion
CBSE,9,Physics,Gravitation,Mass and Weight,Difference and measurement,1.5 hrs,Conceptual clarity
CBSE,9,Physics,Gravitation,Thrust and Pressure,Pressure in solids and fluids,2 hrs,Daily life applications
CBSE,9,Physics,Gravitation,Archimedes’ Principle,Buoyancy and flotation,2 hrs,Practical examples
CBSE,9,Physics,Work and Energy,Work,Definition and types of work,2 hrs,Numericals
CBSE,9,Physics,Work and Energy,Energy,Kinetic and potential energy,3 hrs,Derivations
CBSE,9,Physics,Work and Energy,Law of Conservation of Energy,Energy transformation,2 hrs,Real-life cases
CBSE,9,Physics,Work and Energy,Power,Rate of doing work,1.5 hrs,Unit conversions
CBSE,9,Physics,Sound,Nature of Sound,Production and propagation of sound,2 hrs,Experiments
CBSE,9,Physics,Sound,Sound Waves,Longitudinal waves and characteristics,3 hrs,Wave diagrams
CBSE,9,Physics,Sound,Speed of Sound,Factors affecting sound speed,2 hrs,Numericals
CBSE,9,Physics,Sound,Reflection of Sound,Echo and reverberation,2 hrs,Applications
CBSE,9,Physics,Sound,Human Ear,Structure and working,1.5 hrs,Diagram-based questions
CBSE,9,Physics,Matter in Our Surroundings,States of Matter,"Solid, liquid, gas characteristics",2 hrs,Particle theory
CBSE,9,Physics,Matter in Our Surroundings,Change of State,"Melting, boiling, evaporation",3 hrs,Daily life examples
